PolitikVR;AutoVR
Demokratie;schnell
Regime;Auto
demokratisch;Automobil
Parlament;Autobauer
Bundestag;Mercedes
Partei;BMW
Parteien;Porsche
Politik;Audi
Politikerin;VW
Politiker;Lenkrad
Wahl;Felgen
wählen;Reifen
Kandidat;Straße
Wiederwahl;PS
Präsident;Auspuff
Kanzlerin;Lack
Kanzler;Kombi
Bundespräsident;Bus
Minister;Ledersitze
Ministerien;Fahrer
Ministerium;Faherin
populistisch;Geschwindigkeit
rechts;Bolide
links;Karosserie
Opposition;Km
Korruption;Fenster
Neuwahl;Hupe
Landtag;Pferdestärken
Verhandlungen;Motor
Beschluss;Elektromobilität
beschliessen;Tesla
Steuergelder;Hybrid
Staat;Toyota
Abgeordnete;Lamborghini
Wähler;KFZ
Wählerin;Benziner
Regierung;Benzin
regieren;Diesel
Parteiprogramm;Führerschein
Koalition;Fahrzeug
Ministerin;rasen
;Strecke
;tanken
;Jeep
;SUV
;Verbrauch
;Antrieb
;Zylinder
;Garage
;Hubraum
;Innenraum
;Kofferraum
;Drehzahl
;Handschuhfach
;Verdeck
